City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Ventspils,LV,57.3894,21.5606,48.13,71,75,8.05,broken clouds
291,Lagoa,PT,39.05,-27.9833,65.55,69,97,19.89,overcast clouds
292,Shepetivka,UA,50.1855,27.0637,35.15,85,7,13.47,clear sky
293,Siena,IT,43.2167,11.4,63.52,89,56,2.57,broken clouds
294,Veshenskaya,RU,49.6303,41.7334,48.7,92,100,5.75,overcast clouds
295,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,5.75,clear sky
296,Santa Rosa,PH,14.3122,121.1114,89.58,76,100,2.13,light rain
297,Bahia Blanca,AR,-38.7196,-62.2724,63.18,61,100,10.45,overcast clouds
298,Virginia Beach,US,36.8529,-75.978,50.02,69,0,8.05,clear sky
299,Tiznit,MA,29.5833,-9.5,73.54,29,38,6.42,scattered clouds
300,Port Moresby,PG,-9.4431,147.1797,83.03,76,82,7.99,broken clouds
301,Yulara,AU,-25.2406,130.9889,79.92,28,0,4.65,clear sky
302,Yar-Sale,RU,66.8333,70.8333,36.23,83,100,16.02,overcast clouds
303,Alugan,PH,12.2188,125.4808,82.54,75,100,11.25,overcast clouds
304,San Policarpo,PH,12.1791,125.5072,82.02,77,100,11.18,overcast clouds
305,Eyl,SO,7.9803,49.8164,79.66,74,79,15.21,broken clouds
306,Aksarka,RU,66.5606,67.7975,32.72,91,100,11.99,overcast clouds
307,Zhangye,CN,38.9342,100.4517,61.77,13,97,9.28,overcast clouds
308,Wucheng,CN,29.6008,118.175,73.51,33,40,3.76,scattered clouds
309,Chuy,UY,-33.6971,-53.4616,57.61,98,56,5.75,broken clouds
310,Adrar,MR,20.5022,-10.0711,82.65,15,76,6.49,broken clouds
311,Moba,CN,33.2288,105.0179,56.64,53,17,4.81,few clouds
312,Umm Lajj,SA,25.0213,37.2685,80.85,56,67,3.29,broken clouds
313,Khorramabad,IR,33.4878,48.3558,53.22,37,0,0.0,clear sky
314,Tiksi,RU,71.6872,128.8694,15.91,88,70,16.98,broken clouds
315,Tuatapere,NZ,-46.1333,167.6833,51.98,67,57,18.25,broken clouds
316,Molochnoye,RU,59.2917,39.6787,36.28,80,100,7.74,overcast clouds
317,Quballat,TN,36.5418,9.6633,63.21,64,0,1.07,clear sky
318,Alofi,NU,-19.0595,-169.9187,80.49,78,71,4.61,broken clouds
319,Sillanwali,PK,31.8261,72.5398,77.7,23,0,7.56,clear sky
320,Svetlyy,RU,54.675,20.1347,48.96,59,96,8.68,overcast clouds
321,Burnie,AU,-41.0667,145.9167,62.94,72,23,9.89,few clouds
322,Pangnirtung,CA,66.1451,-65.7125,13.82,68,31,6.42,scattered clouds
323,Zhezkazgan,KZ,47.8043,67.7144,49.98,46,75,15.66,broken clouds
324,Monteagudo,BO,-19.8167,-63.9833,64.85,94,95,1.81,overcast clouds
325,Broome,US,42.2506,-75.833,41.77,81,100,10.36,overcast clouds
326,San Patricio,US,28.017,-97.5169,64.83,41,0,6.87,clear sky
