City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Sampit,ID,89.65,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
486,Awjilah,LY,68.41,broken clouds,29.1081,21.2869,
487,Saint-Joseph,RE,73.78,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
488,Rawson,AR,64.18,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
490,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Pirineos
491,Matara,LK,79.84,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
492,Kiri Buru,IN,78.12,clear sky,22.0833,85.35,Lucky India
495,Abu Kamal,SY,74.43,overcast clouds,34.4506,40.9171,محطة التلفاز
496,Sabha,LY,65.39,scattered clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
498,Puerto Escondido,MX,77.36,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
499,Cidreira,BR,62.71,broken clouds,-30.1811,-50.2056,Hotel Castelo
501,Marsh Harbour,BS,77.99,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
503,Mercedes,AR,64.78,light rain,-34.6515,-59.4307,Posada del Inti Centro
506,Myingyan,MM,83.73,clear sky,21.4667,95.3833,Yamethin
508,Tadine,NC,73.94,overcast clouds,-21.55,167.8833,
509,Sohag,EG,70.09,scattered clouds,26.557,31.6948,Civil Registry - Sohag 1
513,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
514,Sheopur,IN,77.74,clear sky,25.6667,76.7,Shri Ram Dharmshala
518,Dibulla,CO,76.96,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
519,Itacoatiara,BR,73.89,moderate rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
520,Salinas,US,76.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
522,Beloha,MG,73.38,clear sky,-25.1667,45.05,
524,Luz,BR,68.63,overcast clouds,-19.8014,-45.6856,Hotel Turista
525,Batemans Bay,AU,70.11,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
527,Muisne,EC,74.21,overcast clouds,0.6,-80.0333,Quinta Samay
528,Alyangula,AU,85.46,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
529,Oriximina,BR,76.5,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
531,Karaton,ID,81.19,light rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
533,Sonipat,IN,80.6,clear sky,28.9833,77.0167,Cozette Hotel Sonipat
534,Mossendjo,CG,68.47,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
536,Mwinilunga,ZM,61.54,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
538,Cam Ranh,VN,82.36,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
539,Ecoporanga,BR,67.87,broken clouds,-18.3733,-40.8306,Hotel Lacerdas
541,Basco,PH,79.66,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
542,Manati,PR,78.15,few clouds,18.4275,-66.4921,Manati World Point Inn
550,Ambulu,ID,83.57,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
551,Iralaya,HN,79.48,scattered clouds,15.0,-83.2333,Iglesia morava renovada
554,Yenagoa,NG,74.59,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
